Row,Id,Collection,Type,Genus,Family,Year_Early,Year_Late,Year_Uncertainty,Country,City,Location_Uncertainty,Year_Range
2733,177985,10683/14558,Tenor trombone,Trombones,Wind,1890,1900,1,England,London,0,10
2734,177990,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1745,1755,1,Unknown,Unknown,1,10
2735,177992,10683/14558,Clarinet,Clarinets,Wind,1929,1929,0,England,London,0,0
2736,177993,10683/14558,Russian bassoon,Serpents,Wind,0,0,2,England,London,0,0
2737,177994,10683/14558,Clarinet,Clarinets,Wind,1926,1929,1,England,London,0,3
2738,177995,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2739,177997,10683/14558,Cornett,Cornetts,Wind,0,0,2,Unknown,Unknown,2,0
2740,177999,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2741,178002,10683/14558,Serpent,Serpents,Wind,0,0,2,Unknown,Unknown,1,0
2742,178004,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
2743,178007,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1901,1935,1,England,Unknown,0,34
2744,178008,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1934,1968,1,England,Salford,0,34
2745,178009,10683/14558,Tenor trombone,Trombones,Wind,1920,1930,1,United States of America,Elkhart,0,10
2746,178010,10683/14558,Keyed bugle,Bugles,Wind,1815,1825,1,Republic of Ireland,Dublin,0,10
2747,178011,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1920,1930,1,United States of America,Elkhart,0,10
2748,178012,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1835,1845,1,Unknown,Unknown,1,10
2749,178013,10683/14558,Clarinet,Clarinets,Wind,1815,1825,1,England,London,0,10
2750,178014,10683/14558,Double bassoon,Bassoons,Wind,1825,1835,1,Czech Republic,Prague,0,10
2751,178017,10683/14558,Keyed bugle,Bugles,Wind,0,0,2,England,Wolverhampton,0,0
2752,178018,10683/14558,Triangle,Unknown,Other,1970,1980,1,England,Unknown,0,10
2753,178019,10683/14558,Triangle,Unknown,Other,1970,1980,1,Unknown,Unknown,2,10
2754,178020,10683/14558,Unknown,Beaters,Beaters,1970,1980,1,England,Unknown,0,10
2755,178021,10683/14558,Unknown,Beaters,Beaters,1970,1980,1,Unknown,Unknown,2,10
