Row,Id,Collection,Type,Genus,Family,Year_Early,Year_Late,Year_Uncertainty,Country,City,Location_Uncertainty
4572,181241,10683/14558,Keyed bugle,Bugles,Wind,0,2000,1,Unknown,Unknown,2
4573,181242,10683/14558,Unknown,Beaters,Beaters,0,2005,1,Unknown,Unknown,2
4574,181243,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4575,181244,10683/14558,Rain machine,Unknown,Other,0,0,2,Unknown,Unknown,2
4576,181245,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4577,181247,10683/14558,Tenor trombone,Trombones,Wind,1882,0,1,Belgium,Brussels,0
4578,181248,10683/14558,Glockenspiel,Metallophones/Steeldrums,Percussion,1801,0,1,England,London,0
4579,181249,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4580,181250,10683/14558,Frame drum,Drums,Percussion,0,0,2,Unknown,Unknown,2
4581,181251,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0
4582,181252,10683/14558,Violoncello,Violoncellos,Strings,1843,0,1,Scotland,Dundee,0
4583,181253,10683/14558,Triangle,Unknown,Other,0,0,2,Unknown,Unknown,2
4584,181254,10683/14558,Harpsichord,Harpsichords,Keyboard,1774,0,1,England,London,0
4585,181255,10683/14558,Valve horn,Horns,Wind,1866,0,1,Austria,Vienna,0
4586,181256,10683/14558,Clavichord,Clavichords,Keyboard,0,0,2,Scotland,Burntisland,0
4587,181257,10683/14558,Clarinet,Clarinets,Wind,1918,0,1,United States of America,Elkhart,0
4588,181258,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,2
4589,181260,10683/14558,Clarinet,Clarinets,Wind,1885,0,1,Germany,Unknown,0
4590,181261,10683/14558,Unknown,Beaters,Beaters,0,0,2,Unknown,Unknown,2
4591,181262,10683/14558,Clarinet,Clarinets,Wind,1885,2000,1,Germany,Unknown,0
4592,181263,10683/14558,Drum,Drums,Percussion,1960,0,1,England,Dulwich,0
4593,181264,10683/14558,Clarinet,Clarinets,Wind,1980,2000,1,France,Paris,0
4594,181265,10683/14558,Cylindrical drum,Drums,Percussion,0,0,2,Unknown,Unknown,2
4595,181266,10683/14558,Clarinet,Clarinets,Wind,1929,0,1,France,Paris,0
4596,181269,10683/14558,Clarinet,Clarinets,Wind,1900,0,1,United States of America,Elkhart,0
4597,181270,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4598,181271,10683/14558,Sizzle cymbal,Cymbals,Percussion,1920,0,1,Unknown,Unknown,0
4599,181272,10683/14558,Clarinet,Clarinets,Wind,1900,0,1,United States of America,Elkhart,0
4600,181273,10683/14558,Sousaphone,Tubas,Wind,1928,0,1,United States of America,Elkhart,0
4601,181274,10683/14558,Clarinet,Clarinets,Wind,1930,2000,1,France,Paris,0
4602,181275,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4603,181277,10683/14558,Clarinet,Clarinets,Wind,1930,0,1,France,Paris,0
4604,181278,10683/14558,Clarinet,Clarinets,Wind,1850,1992,1,Unknown,Unknown,2
4605,181279,10683/14558,Harpsichord,Harpsichords,Keyboard,1700,0,1,Italy,Unknown,0
4606,181280,10683/14558,Harpsichord,Harpsichords,Keyboard,1574,0,1,Unknown,Unknown,1
4607,181281,10683/14558,Bass saxhorn,Saxhorns,Wind,1863,0,1,France,Paris,0
4608,181282,10683/14558,Harpsichord,Harpsichords,Keyboard,1760,2013,1,Unknown,Unknown,0
4609,181283,10683/14558,Clarinet,Clarinets,Wind,1934,0,1,England,London,0
4610,181284,10683/14558,Harpsichord,Harpsichords,Keyboard,1770,0,1,Italy,Naples,0
4611,181285,10683/14558,Clarinet,Clarinets,Wind,1885,0,1,England,London,0
4612,181286,10683/14558,Harpsichord,Harpsichords,Keyboard,1725,0,1,Italy,Unknown,0
4613,181287,10683/14558,Clarinet,Clarinets,Wind,1915,0,1,France,Unknown,0
4614,181288,10683/14558,Cornet,Cornets,Wind,0,0,2,England,Birmingham,0
4615,181289,10683/14558,Bombardon,Tubas,Wind,0,0,2,England,London,0
4616,181290,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2
4617,181291,10683/14558,Square pianoforte,Pianofortes,Keyboard,1837,0,1,England,London,0
4618,181292,10683/14558,Clarinet,Clarinets,Wind,1840,0,1,Great Britain,Unknown,0
4619,181293,10683/14558,Cornet,Cornets,Wind,1856,0,1,United States of America,Boston,0
4620,181294,10683/14558,Tenor trombone,Trombones,Wind,1594,0,1,Germany,Nuremberg,0
4621,181295,10683/14558,Clarinet,Clarinets,Wind,1875,0,1,Unknown,Unknown,1
4622,181296,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1
4623,181297,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1979,0,1,Germany,Bonn,0
4624,181298,10683/14558,Clarinet,Clarinets,Wind,1895,0,1,Belgium,Brussels,0
4625,181299,10683/14558,Clarinet,Clarinets,Wind,1895,0,1,Belgium,Brussels,0
4626,181300,10683/14558,Square pianoforte,Pianofortes,Keyboard,1817,0,1,Scotland,Edinburgh,0
4627,181301,10683/14558,Clarinet,Clarinets,Wind,1875,0,1,Unknown,Unknown,1
4628,181302,10683/14558,Harpsichord,Harpsichords,Keyboard,1730,0,1,England,London,0
4629,181303,10683/14558,Harpsichord,Harpsichords,Keyboard,1720,0,1,England,London,0
4630,181304,10683/14558,Harpsichord,Harpsichords,Keyboard,1745,0,1,England,London,0
4631,181305,10683/14558,Harpsichord,Harpsichords,Keyboard,1776,0,1,England,London,0
4632,181306,10683/14558,Piccolo flute,Flutes,Wind,0,0,2,United States of America,Cambridge,0
4633,181307,10683/14558,Spinet,Harpsichords,Keyboard,1675,0,1,Unknown,Unknown,1
4634,181308,10683/14558,Flageolet,Flutes,Wind,0,1994,1,Unknown,Unknown,2
4635,181313,10683/14558,Clarinet,Clarinets,Wind,1929,0,1,England,London,0
4636,181314,10683/14558,Harpsichord,Harpsichords,Keyboard,1642,0,1,Belgium,Antwerp,0
4637,181315,10683/14558,Clarinet,Clarinets,Wind,0,0,2,England,London,0
4638,181316,10683/14558,Harpsichord,Harpsichords,Keyboard,1755,0,1,Unknown,Unknown,0
4639,181317,10683/14558,Clarinet,Clarinets,Wind,1915,0,1,Belgium,Brussels,0
4640,181318,10683/14558,Harpsichord,Harpsichords,Keyboard,1709,0,1,England,London,0
4641,181319,10683/14558,Clarinet,Clarinets,Wind,1800,0,1,Unknown,Unknown,0
4642,181320,10683/14558,Piccolo flute,Flutes,Wind,1975,0,1,Unknown,Unknown,0
4643,181321,10683/14558,Clarinet,Clarinets,Wind,1835,0,1,Netherlands,Rotterdam,0
4644,181322,10683/14558,Clarinet,Clarinets,Wind,1838,0,1,Belgium,Brussels,0
4645,181324,10683/14558,Clarinet,Clarinets,Wind,1915,0,1,France,Paris,0
4646,181326,10683/14558,Cornet,Cornets,Wind,1909,2000,1,England,London,0
4647,181327,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,2000,1,Unknown,Unknown,2
4648,181328,10683/14558,Dital harp,Harps,Strings,1801,0,1,England,London,0
4649,181329,10683/14558,Dital harp,Harps,Strings,0,0,2,England,London,0
4650,181331,10683/14558,Natural trumpet,Trumpets,Wind,0,0,2,France,Paris,0
4651,181332,10683/14558,Accordion,Accordions,Wind,1855,1994,1,France,Paris,0
4652,181333,10683/14558,Bugle,Bugles,Wind,1957,0,1,England,London,0
4653,181336,10683/14558,Valve trumpet,Trumpets,Wind,0,0,2,England,London,0
4654,181337,10683/14558,Double bass,Double basses,Strings,1753,0,1,Germany,Nuremberg,0
4655,181338,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,2000,1,Unknown,Unknown,2
4656,181339,10683/14558,Accordion,Accordions,Wind,1855,2000,1,France,Paris,0
4657,181340,10683/14558,Tenor trombone,Trombones,Wind,1924,0,1,England,London,0
4658,181341,10683/14558,Autoharp,Zithers,Strings,1901,0,1,Unknown,Unknown,1
4659,181343,10683/14558,Tenor trombone,Trombones,Wind,1934,0,1,Germany,Adorf,0
4660,181344,10683/14558,Zither,Zithers,Strings,1901,2000,1,Unknown,Unknown,1
4661,181345,10683/14558,Swanee whistle,Flutes,Wind,0,0,2,France,Paris,0
4662,181346,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,Unknown,0
4663,181353,10683/14558,Dessus de musette,Oboes,Wind,0,0,2,Unknown,Unknown,2
4664,181354,10683/14558,Oboe,Oboes,Wind,1919,0,1,England,London,0
4665,181355,10683/14558,Oboe,Oboes,Wind,1920,0,1,France,Paris,0
4666,181356,10683/14558,Bugle,Bugles,Wind,0,0,2,England,London,0
4667,181357,10683/14558,Flugelhorn,Flugelhorns,Wind,2004,0,1,United States of America,Lake Geneva,0
4668,181358,10683/14558,Clarinet,Clarinets,Wind,1835,0,1,Austria,Vienna,0
4669,181362,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1934,0,1,England,London,0
4670,181363,10683/14558,Clarinet,Clarinets,Wind,1915,2000,1,Italy,Unknown,0
4671,181364,10683/14558,Cornet,Cornets,Wind,1919,0,1,England,London,0
4672,181365,10683/14558,Clarinet,Clarinets,Wind,1795,0,1,Unknown,Unknown,0
4673,181366,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,2000,1,England,London,0
4674,181367,10683/14558,Clarinet,Clarinets,Wind,1895,0,1,United States of America,Elkhart,0
4675,181368,10683/14558,Cornet,Cornets,Wind,1911,0,1,England,London,0
4676,181369,10683/14558,Clarinet,Clarinets,Wind,1803,0,1,England,London,0
4677,181372,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1950,0,1,Unknown,Unknown,0
4678,181373,10683/14558,Clarinet,Clarinets,Wind,1910,0,1,England,London,0
4679,181374,10683/14558,Soprano saxophone,Saxophones,Wind,1860,0,1,France,Paris,0
4680,181375,10683/14558,Clarinet,Clarinets,Wind,1880,0,1,Unknown,Unknown,0
4681,181377,10683/14558,Clarinet,Clarinets,Wind,1880,0,1,Great Britain,Unknown,0
4682,181381,10683/14558,Tenor saxophone,Saxophones,Wind,1858,0,1,France,Paris,0
4683,181382,10683/14558,Valve horn,Horns,Wind,1879,2000,1,France,Paris,0
4684,181390,10683/14558,Baritone saxophone,Saxophones,Wind,1861,0,1,France,Paris,0
4685,181391,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0
4686,181392,10683/14558,Tenor saxophone,Saxophones,Wind,1867,0,1,France,Paris,0
4687,181393,10683/14558,Musical box,Mechanical,Mechanical,0,0,2,Unknown,Unknown,2
4688,181394,10683/14558,Alto saxophone,Saxophones,Wind,1869,0,1,France,Paris,0
4689,181395,10683/14558,Tuba,Tubas,Wind,1889,0,1,France,Paris,0
4690,181398,10683/14558,Barrel organ,Mechanical,Mechanical,1835,0,1,England,London,0
4691,181403,10683/14558,Bugle,Bugles,Wind,1866,0,1,Unknown,Unknown,1
4692,181404,10683/14558,Clarinet,Clarinets,Wind,1875,0,1,Unknown,Unknown,1
4693,181405,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1
4694,181407,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,2000,1,Unknown,Unknown,2
4695,181408,10683/14558,Tenor trombone,Trombones,Wind,1895,0,1,England,London,0
4696,181415,10683/14558,Lyre guitar,Guitars,Strings,1800,0,1,France,Paris,0
4697,181424,10683/14558,English guitar,Citterns,Strings,0,0,2,England,London,0
